% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.678214	1	1	1	6.7269e-15	22.4762	0
0.679214	1	1	1	6.72333e-15	22.4643	0
0.680214	1	1	1	6.71976e-15	22.4524	0
0.681214	1	1	1	6.71619e-15	22.4405	0
0.682214	1	1	1	6.71263e-15	22.4286	0
0.683214	1	1	1	6.70907e-15	22.4167	0
0.684214	1	1	1	6.70551e-15	22.4048	0
0.685214	1	1	1	6.70195e-15	22.3929	0
0.686214	1	1	1	6.6984e-15	22.381	0
0.687214	1	1	1	6.69484e-15	22.3691	0
0.688214	1	1	1	6.69129e-15	22.3573	0
0.689214	1	1	1	6.68775e-15	22.3454	0
0.690214	1	1	1	6.6842e-15	22.3336	0
0.691214	1	1	1	6.68066e-15	22.3217	0
0.692214	1	1	1	6.67712e-15	22.3099	0
0.693214	1	1	1	6.67358e-15	22.2981	0
0.694214	1	1	1	6.67005e-15	22.2863	0
0.695214	1	1	1	6.66652e-15	22.2745	0
0.696214	1	1	1	6.66298e-15	22.2627	0
0.697214	1	1	1	6.65946e-15	22.2509	0
0.698214	1	1	1	6.65593e-15	22.2391	0
0.699214	1	1	1	6.65241e-15	22.2273	0
0.700214	1	1	1	6.64889e-15	22.2156	0
0.701214	1	1	1	6.64537e-15	22.2038	0
0.702214	1	1	1	6.64185e-15	22.1921	0
0.703214	1	1	1	6.63834e-15	22.1803	0
0.704214	1	1	1	6.63482e-15	22.1686	0
0.705214	1	1	1	6.63132e-15	22.1569	0
0.706214	1	1	1	6.62781e-15	22.1452	0
0.707214	1	1	1	6.6243e-15	22.1334	0
0.708214	1	1	1	6.6208e-15	22.1217	0
0.709214	1	1	1	6.6173e-15	22.11	0
0.710214	1	1	1	6.6138e-15	22.0984	0
0.711214	1	1	1	6.61031e-15	22.0867	0
0.712214	1	1	1	6.60681e-15	22.075	0
0.713214	1	1	1	6.60332e-15	22.0633	0
0.714214	1	1	1	6.59983e-15	22.0517	0
0.715214	1	1	1	6.59635e-15	22.04	0
0.716214	1	1	1	6.59286e-15	22.0284	0
0.717214	1	1	1	6.58938e-15	22.0168	0
0.718214	1	1	1	6.5859e-15	22.0051	0
0.719214	1	1	1	6.58243e-15	21.9935	0
0.720214	1	1	1	6.57895e-15	21.9819	0
0.721214	1	1	1	6.57548e-15	21.9703	0
0.722214	1	1	1	6.57201e-15	21.9587	0
0.723214	1	1	1	6.56854e-15	21.9471	0
0.724214	1	1	1	6.56508e-15	21.9355	0
0.725214	1	1	1	6.56161e-15	21.924	0
0.726214	1	1	1	6.55815e-15	21.9124	0
0.727214	1	1	1	6.55469e-15	21.9009	0
0.728214	1	1	1	6.55124e-15	21.8893	0
0.729214	1	1	1	6.54778e-15	21.8778	0
0.730214	1	1	1	6.54433e-15	21.8662	0
0.731214	1	1	1	6.54088e-15	21.8547	0
